iter	Passed	Remaining
868	1717	258
869	1718	256
870	1719	254
871	1720	252
872	1723	250
873	1724	248
874	1725	246
875	1726	244
876	1727	242
877	1728	240
878	1729	238
879	1730	236
880	1731	233
881	1732	231
882	1734	229
883	1735	227
884	1738	225
885	1740	223
886	1742	221
887	1743	219
888	1744	217
889	1746	215
890	1747	213
891	1748	211
892	1749	209
893	1750	207
894	1753	205
895	1755	203
896	1756	201
897	1757	199
898	1758	197
899	1759	195
900	1760	193
901	1762	191
902	1763	189
903	1764	187
904	1765	185
905	1768	183
906	1770	181
907	1772	179
908	1773	177
909	1774	175
910	1775	173
911	1777	171
912	1778	169
913	1779	167
914	1780	165
915	1781	163
916	1783	161
917	1785	159
918	1786	157
919	1787	155
920	1789	153
921	1791	151
922	1792	149
923	1793	147
924	1794	145
925	1795	143
926	1797	141
927	1798	139
928	1800	137
929	1801	135
930	1802	133
931	1803	131
932	1805	129
933	1806	127
934	1807	125
935	1808	123
936	1809	121
937	1810	119
938	1812	117
939	1813	115
940	1815	113
941	1816	111
942	1817	109
943	1818	107
944	1819	105
945	1820	103
946	1822	101
947	1823	100
948	1824	98
949	1825	96
950	1827	94
951	1828	92
952	1829	90
953	1830	88
954	1832	86
955	1833	84
956	1834	82
957	1835	80
958	1836	78
959	1838	76
960	1839	74
961	1840	72
962	1841	70
963	1843	68
964	1845	66
965	1846	64
966	1847	63
967	1848	61
968	1849	59
969	1850	57
970	1851	55
971	1852	53
972	1853	51
973	1854	49
974	1855	47
975	1858	45
976	1860	43
977	1861	41
978	1862	39
979	1863	38
980	1864	36
981	1865	34
982	1866	32
983	1867	30
984	1868	28
985	1870	26
986	1871	24
987	1873	22
988	1875	20
989	1876	18
990	1877	17
991	1878	15
992	1880	13
993	1881	11
994	1882	9
995	1883	7
996	1884	5
997	1885	3
998	1888	1
999	1889	0
